Measure Time,Commanded trajectory,Real trajectory,Curve,az LS,2893,el LS,2396
2024-09-11 18:56:11.697603,"(71.69, 7.9)","(2571, 2792)","[18  9 18 19 24 21 24 25 23 24 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 13 11 13 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 20 15 35 27 46 41 49 48 47 48
 43 45 37 40 32 35 27 30 21 25 20 20 18 19 17 18 15 16 14 14 13 13 12 12
 10 11 10 10  9  9  9  9]",,,,
2024-09-11 18:56:26.878077,"(50.4, 7.7873)","(2266, 2794)","[18  8 18 19 24 21 24 25 23 24 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 16 23 18 37 29 46 42 47 47 45 46
 42 44 38 40 33 36 28 31 25 26 20 21 18 19 16 17 14 15 12 13 10 11 10 10
 10 10  9 10  9  9  9  9]",,,,
2024-09-11 18:56:41.859859,"(30.0, 9.0)","(2013, 2785)","[18  6 18 19 24 21 23 25 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 20 16 25 22 36 29 45 42 47 47 46 47
 45 46 41 43 38 40 34 36 28 31 21 21 18 20 15 17 13 14 11 12  9 10  8  9
  8  8  8  8  9  9  9  9]",,,,
2024-09-11 18:56:56.432178,"(11.69, 7.9)","(1827, 2791)","[18  6 18 19 24 21 23 24 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 16 13 27 21 39 33 46 43 46 46 44 45
 42 44 39 40 37 38 33 35 27 30 20 21 17 19 15 16 13 14 11 12 10 11  9 10
  9  9  9  9  9  9  9  9]",,,,
2024-09-11 18:57:12.109618,"(-9.6, 7.7873)","(1669, 2792)","[18 10 18 19 23 21 24 24 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 13 31 24 43 38 48 46 48 48 44 46
 38 40 34 35 31 32 29 30 25 28 19 20 16 18 14 15 12 13 11 12 10 10  9  9
  8  9  8  8  9  9  9  9]",,,,
2024-09-11 18:57:28.095450,"(-30.0, 9.0)","(1505, 2783)","[20  4 22 23 23 23 26 24 26 27 24 25 23 24 22 22 22 22 21 22 20 21 19 20
 17 18 14 16 12 13 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 15 11 22 19 27 26 30 29 34 32 37 34 48 42 56 53 56 56 53 55
 50 51 45 48 40 43 35 38 29 32 24 25 22 23 19 21 17 18 15 16 13 14 12 13
 11 12  9 10  9  9  9  9]",,,,
2024-09-11 18:57:43.688604,"(-48.31, 7.9)","(1355, 2792)","[18 13 18 19 23 21 25 24 24 25 23 24 22 23 18 19 18 18 17 18 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 27 21 40 33 52 47 59 56 60 60 58 59
 53 55 47 50 40 43 35 37 30 32 24 25 21 23 18 20 15 16 12 13 10 11  8  9
  7  8  8  8  9  9  9  9]",,,,
2024-09-11 18:57:58.665594,"(-69.6, 7.7873)","(1155, 2793)","[18 14 18 19 23 20 24 24 23 23 23 23 21 22 18 19 19 18 17 18 15 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 21 17 27 24 39 32 53 47 61 58 63 63 61 63
 57 59 51 54 45 48 37 41 31 33 25 26 22 23 18 20 15 17 13 14 12 12 11 11
 10 10  9  9  9  9  9  9]",,,,
2024-09-11 18:58:14.145056,"(-90, 9.0)","(916, 2785)","[18 10 20 20 23 21 26 24 26 27 25 26 24 24 22 23 23 23 22 23 21 22 20 21
 19 19 16 17 13 15 12 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 17 14 24 21 30 27 35 33 38 37 43 41 45 44 54 46 64 60 66 65 63 65
 59 61 53 56 47 50 43 45 38 40 31 32 29 30 25 27 22 24 19 20 17 18 15 16
 14 14 12 13 11 12 11 11]",,,,
2024-09-11 18:58:48.908329,"(71.69, -12.9)","(2570, 3013)","[18  9 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 18 15 26 22 36 31 43 40 42 43 38 41
 32 35 30 30 39 34 42 41 41 42 36 39 31 34 29 30 28 29 27 28 23 23 23 23
 23 23 23 23 29 27 32 31 32 32 28 30 22 23 20 21 18 19 16 17 14 15 12 13
 11 12  9 10  9  9  9  9]",,,,
2024-09-11 18:59:05.108936,"(50.4, -12.7873)","(2266, 3012)","[18  5 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 15 10 25 19 34 30 37 36 34 36
 30 32 31 30 36 33 35 35 35 35 35 35 34 35 34 34 33 33 32 33 29 31 21 27
 21 21 22 21 22 22 22 22 21 22 20 21 18 19 16 17 15 15 13 14 11 12 10 11
  9  9  9  9  9  9  9  9]",,,,
2024-09-11 18:59:20.091479,"(30.0, -14.0)","(2013, 3021)","[18 10 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 19 11
 28 24 31 30 30 31 27 29 23 25 21 21 28 24 34 32 36 36 35 36 34 35 32 34
 30 29 33 31 33 34 31 32 27 29 21 21 20 21 21 21 21 21 20 21 19 20 17 18
 17 17 17 17 17 17 17 17]",,,,
2024-09-11 18:59:34.655632,"(11.69, -12.9)","(1828, 3012)","[18 10 19 19 23 21 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 21 17 26 24
 27 26 31 28 36 33 35 36 35 34 38 36 40 40 40 40 40 40 40 40 40 40 37 39
 34 35 32 33 30 31 24 28 24 24 24 24 24 24 22 23 20 20 19 19 19 19 18 18
 18 18 18 18 17 17 16 16]",,,,
2024-09-11 18:59:50.140495,"(-9.6, -12.7873)","(1669, 3011)","[18 11 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 18  9 26 23 26 26 23 24
 20 21 26 21 34 30 38 37 35 38 35 34 36 35 35 35 34 34 33 33 30 31 29 29
 29 29 33 31 35 34 34 34 32 33 29 30 23 28 23 23 21 22 19 20 18 19 18 18
 17 17 16 16 15 16 15 15]",,,,
2024-09-11 19:00:05.123897,"(-30.0, -14.0)","(1506, 3020)","[18  8 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 15 10 31 24 38 36 38 38 36 37
 32 35 29 30 37 33 40 39 38 40 35 36 33 34 32 32 31 31 29 30 28 28 27 28
 27 27 29 28 32 30 33 33 32 33 30 31 24 28 23 24 21 22 18 20 15 17 14 14
 14 14 13 14 12 13 11 11]",,,,
2024-09-11 19:00:19.695893,"(-48.31, -12.9)","(1355, 3011)","[18  8 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 15 12 24 20 31 27 34 33 32 34 28 30 25 26 23 23 30 27
 31 31 30 30 31 30 31 31 27 30 23 25 18 19 17 18 15 16 13 14 11 12 10 10
  9  9  8  8  9  9  9  9]",,,,
2024-09-11 19:00:34.684787,"(-69.6, -12.7873)","(1155, 3009)","[18  7 18 19 23 20 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 10 10 18 15 18 19 18 18
 20 17 22 22 34 28 34 34 29 33 23 26 14 21 13 14 11 12 10 11  9  9  8  8
  7  7  8  7  9  9  9  9]",,,,
2024-09-11 19:01:09.038187,"(90, 12.0)","(2832, 2742)","[19 19 18 19 22 20 23 23 22 21 23 23 22 23 20 21 18 18 17 18 16 17 14 15
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 19 17 23 21 28 26 33 31 38 35 43 40 44 43 54 46 65 61 67 67 64 66
 59 62 55 57 50 52 44 47 39 42 34 36 30 31 26 28 23 24 19 21 16 17 13 14
 12 13 10 11  9 10  9  9]",,,,
