Measure Time,Commanded trajectory,Real trajectory,Curve
21,"(50.4, 7.7873)","(573, 88)","[18 15 19 20 22 20 25 25 24 25 23 23 22 23 22 22 20 21 17 18 16 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 13 13 28 21 36 34 37 37 49 43 52 51
 52 52 50 51 44 47 36 40 31 33 27 29 23 23 21 22 19 20 17 18 14 16 12 13
 11 12 10 10  9  9  9  9]"
22,"(30.0, 9.0)","(341, 102)","[17  9 19 20 20 20 21 20 22 22 22 22 22 23 20 22 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 18 16 25 21 36 31 44 41 51 48 52 52 51 52
 50 51 45 48 41 43 37 39 34 35 30 32 24 25 22 23 18 20 15 17 13 14 12 13
 12 12 11 11 10 11  9 10]"
23,"(11.69, 7.9)","(133, 89)","[17 15 19 20 25 22 27 27 25 26 24 24 22 23 20 22 17 19 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 14 14 12 11 13 12 14 15 13 14 27 22 41 35 49 46 52 51 51 51 52 51
 53 53 51 52 47 49 41 44 35 38 29 32 24 26 20 22 17 19 14 16 12 13 11 11
 10 10 10 10  9 10  9  9]"
24,"(-9.6, 7.7873)","(3986, 88)","[21 23 19 21 25 22 27 27 26 27 25 25 24 25 23 24 20 21 16 18 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 22 19 31 26 44 38 53 49 56 55 55 56 53 53
 52 53 51 52 47 49 43 45 37 40 30 34 25 27 22 23 18 20 15 17 13 14 12 12
 11 11  9 10  9  9  9  9]"
25,"(-30.0, 9.0)","(3754, 102)","[19 17 20 21 18 19 24 22 26 27 25 25 24 25 22 23 20 21 19 20 16 18 14 15
 14 14 13 14 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 13 21 18 25 23 30 28 33 32 37 35 43 40 52 47 58 56 59 59 56 57
 53 54 49 51 41 45 36 39 32 34 27 28 23 25 20 21 17 18 15 16 13 14 11 11
  9 10  9  9  9  9  9  9]"
26,"(-48.31, 7.9)","(3546, 89)","[20 22 19 20 19 19 23 22 23 23 24 23 25 24 23 24 20 21 17 18 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 19 15 25 22 31 28 43 36 54 49 61 58 61 61 57 59
 51 53 46 49 41 44 36 38 32 34 26 26 23 25 19 21 16 17 13 14 11 12  9 10
  9  9  9  9  9  9  9  9]"
27,"(-69.6, 7.7873)","(3304, 88)","[17 15 19 20 20 19 23 22 22 23 22 22 24 23 22 23 20 21 16 18 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 19 15 27 23 30 28 40 34 53 47 61 58 62 62 57 61
 50 53 43 46 38 40 32 35 25 30 25 25 22 24 19 21 17 18 14 15 13 13 11 12
 10 11  9 10  9  9  9  9]"
28,"(-90.0, 9.0)","(3072, 102)","[17 13 20 20 18 19 24 21 26 27 25 25 25 25 23 24 22 22 20 21 19 19 16 17
 17 16 16 17 14 15 12 13 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 19 16 25 21 30 28 35 33 41 38 44 43 48 46 51 50 59 52 68 64 70 70 68 70
 64 66 58 61 53 55 48 50 43 45 39 41 34 35 32 33 28 30 25 27 21 23 18 19
 15 16 13 14 11 12 10 10]"
29,"(71.69, -12.9)","(815, 3949)","[17  7 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 12 10 20 16 29 24 38 34 40 39 38 39
 33 36 31 31 42 36 48 45 48 49 45 47 37 41 34 35 33 33 32 33 24 30 24 24
 23 23 29 27 30 30 24 29 23 24 20 22 19 19 17 18 16 17 15 16 14 15 13 14
 13 13 12 12 11 11 10 10]"
30,"(50.4, -12.7873)","(573, 3950)","[17  7 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 13 11 25 18
 37 33 42 40 41 42 39 39 41 40 40 41 40 40 41 41 39 41 35 37 30 32 22 27
 28 22 31 30 31 31 28 29 23 26 20 22 19 20 18 18 17 17 17 17 15 16 14 14
 14 14 13 14 12 13 11 12]"
31,"(30.0, -14.0)","(341, 3936)","[19 19 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 16 11 20 18 22 22 20 21 33 25 47 41 52 51 52 53 50 51 46 47
 46 45 45 46 40 43 38 39 34 37 30 31 26 26 25 25 23 24 22 23 21 21 19 20
 17 18 17 17 16 16 15 16]"
32,"(11.69, -12.9)","(133, 3949)","[17  9 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 12 11
 14 14 14 14 26 19 42 35 49 47 49 50 48 49 45 47 41 43 40 40 39 40 37 38
 33 35 32 32 32 32 32 31 32 33 29 31 24 25 22 23 20 21 20 20 20 20 19 19
 16 17 14 15 13 13 12 12]"
33,"(-9.6, -12.7873)","(3986, 3950)","[18  5 21 21 19 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 20 10
 33 29 36 36 34 35 28 32 22 25 17 20 12 16 11 12 11 11 20 17 21 21 20 20
 19 20 30 22 46 38 56 52 57 58 56 57 55 55 51 53 45 48 41 43 40 41 38 39
 35 37 29 29 29 29 30 29 30 30 29 30 28 29 26 27 23 25 21 22 19 20 16 17
 16 16 15 16 15 15 14 15]"
