Azimutal,Elevation,0.0,0.236,0.472,0.709,0.945,1.181,1.417,1.654,1.89,2.126,2.362,2.598,2.835,3.071,3.307,3.543,3.78,4.016,4.252,4.488,4.724,4.961,5.197,5.433,5.669,5.906,6.142,6.378,6.614,6.85,7.087,7.323,7.559,7.795,8.031,8.268,8.504,8.74,8.976,9.213,9.449,9.685,9.921,10.157,10.394,10.63,10.866,11.102,11.339,11.575,11.811,12.047,12.283,12.52,12.756,12.992,13.228,13.465,13.701,13.937,14.173,14.409,14.646,14.882,15.118,15.354,15.591,15.827,16.063,16.299,16.535,16.772,17.008,17.244,17.48,17.717,17.953,18.189,18.425,18.661,18.898,19.134,19.37,19.606,19.843,20.079,20.315,20.551,20.787,21.024,21.26,21.496,21.732,21.969,22.205,22.441,22.677,22.913,23.15,23.386,23.622,23.858,24.094,24.331,24.567,24.803,25.039,25.276,25.512,25.748,25.984,26.22,26.457,26.693,26.929,27.165,27.402,27.638,27.874,28.11,28.346,28.583,28.819,29.055,29.291,29.528,29.764,30.0
30.0,5.1962,22,18,19,21,26,23,26,26,15,23,12,13,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,21,12,41,40,38,38,32,38,18,19,11,14,10,10,12,11,9,9,14,9,27,27,42,26,53,54,33,43,22,23,13,17,8,9,9,6,10,9,9,9,9,9,14,8,15,17,17,18,9,9,8,9,8,7,12,10,10,11,8,8,10,9,14,14,10,13,8,10,7,7,9,6,10,9,8,9,8,6,7,9,7,8,20,6,19,22,7,13,7,7,7,6
1.12,4.4507,22,10,19,21,26,23,25,26,19,23,12,13,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,17,9,32,33,23,27,21,24,12,14,10,11,10,9,12,11,9,9,28,9,44,43,50,40,63,64,38,54,26,28,15,20,9,12,9,8,10,9,9,9,9,9,20,8,20,21,22,23,11,16,10,11,9,9,12,10,10,11,10,9,10,9,7,9,10,9,8,10,6,6,9,6,10,9,8,9,8,7,7,9,7,8,13,6,16,18,8,8,8,8,7,8
-30.0,5.1962,21,17,19,21,26,23,25,26,14,21,12,13,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,14,15,9,8,20,18,11,18,10,11,9,9,8,10,10,8,12,11,9,14,41,9,54,54,49,47,63,63,36,54,26,29,13,20,10,12,9,8,10,9,9,9,9,9,14,8,15,14,15,16,14,8,9,9,9,9,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,8,6,16,18,8,13,8,8,7,7
-58.88,4.4506,21,16,19,21,26,23,26,26,13,22,12,11,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,6,13,25,25,16,20,10,10,9,9,8,10,10,8,12,11,9,9,32,9,40,34,47,34,60,60,35,51,22,25,12,16,9,10,9,7,10,9,9,9,9,9,18,8,20,18,19,20,10,16,9,10,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,19,6,21,24,9,16,8,9,7,7
-90,5.1962,21,10,19,21,27,23,26,27,15,23,13,13,13,11,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,8,8,12,11,8,10,10,8,9,9,8,10,10,8,12,11,9,9,44,16,45,48,42,42,51,52,25,43,18,21,12,15,8,9,9,6,10,9,9,9,9,9,14,8,14,13,19,16,9,18,8,9,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,17,9,14,16,15,7,9,15,8,8,7,7,7,6
61.12,-4.4506,21,23,19,21,27,23,26,27,16,23,12,12,13,10,12,12,12,10,13,11,11,12,13,14,11,12,13,10,13,15,10,11,10,10,8,10,8,7,12,11,8,10,10,8,9,9,8,10,10,8,12,11,9,9,39,9,48,48,49,43,56,56,26,44,19,22,11,14,8,9,9,7,10,9,9,9,9,9,7,8,7,7,8,8,7,8,8,9,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,16,9,16,17,19,14,15,21,8,9,7,7,7,7
30.0,-5.1962,21,22,19,21,26,23,26,26,15,22,12,11,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,8,8,12,11,8,10,10,7,9,9,8,10,10,8,12,11,9,9,30,9,40,40,52,41,57,59,31,44,20,22,12,16,8,10,9,6,10,9,9,9,9,9,7,8,7,7,8,8,7,8,8,9,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,10,6,7,9,7,8,23,6,17,22,9,9,7,8,7,6
1.12,-4.4506,21,19,19,21,26,23,26,26,14,22,12,13,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,14,13,15,10,11,10,10,16,16,9,15,12,11,8,10,10,14,9,9,8,10,10,8,12,11,9,9,14,9,27,27,54,40,63,64,37,52,21,24,12,16,9,9,9,8,10,9,9,9,9,9,7,8,7,7,8,8,13,8,8,9,8,8,12,10,10,11,14,8,10,9,7,9,10,9,8,10,6,6,9,6,10,9,8,9,8,6,7,9,7,8,18,6,15,19,8,8,8,8,7,6
-30.0,-5.1962,21,21,19,21,26,23,26,26,14,22,12,12,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,15,14,8,14,12,11,8,10,10,8,9,9,8,10,10,8,12,11,9,9,8,9,15,14,46,29,62,63,39,55,22,24,12,16,10,11,9,10,10,9,9,9,9,9,7,8,7,7,8,8,13,8,8,9,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,8,6,18,20,8,14,7,8,7,6
-58.88,-4.4506,22,23,19,22,26,23,26,26,14,17,12,12,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,7,7,12,16,8,10,10,8,9,9,8,10,10,8,12,11,9,9,8,9,8,8,41,24,55,55,46,52,28,34,17,20,10,13,9,9,10,9,9,9,9,9,7,8,7,7,8,8,7,8,8,9,31,7,31,34,12,21,9,10,10,9,16,18,10,14,8,10,6,6,9,6,24,16,16,23,9,10,7,9,25,22,21,24,22,23,12,12,10,12,7,7
